databarLabel,time,pixels_width,pixels_height,pixel_dimension_nm,field_of_view_width,field_of_view_height,sample_position_x,sample_position_y,multistage_X,multistage_Y,beam_shift_x,beam_shift_y,spot_size,detector,dwell_time_ns,contrast,gamma,brightness,pressure_Pa,high_voltage_kV,emission_current_uA,working_distance_mm
SEM1-426_,2024-12-17T22:38:23,1920,1080,661.4579999999999,1269999.3599999996,714374.6399999999,-0.0140662,-0.00194928,0.0140873,0.00200883,2.10506e-05,5.9549e-05,3.3,sed,200,2.56604,1.0,0.474701,0.1,-10.0,40.3,6.44088
SEM1-426_,2024-12-17T22:38:55,1920,1080,264.583,507999.36000000004,285749.64,-0.0140937,-0.00195312,0.0140873,0.00200883,-6.46299e-06,5.57119e-05,3.3,sed,200,1.7,1.0,0.470726,0.1,-10.0,40.3,6.45108
SEM1-426_,2024-12-17T22:39:22,1920,1080,132.292,254000.64,142875.36000000002,-0.0140937,-0.00195312,0.0140873,0.00200883,-6.46299e-06,5.57119e-05,3.3,sed,200,1.6,1.0,0.471099,0.1,-10.0,40.3,6.46179
SEM1-426_,2024-12-17T22:39:54,1920,1080,66.1458,126999.93599999999,71437.46399999999,-0.0140937,-0.00195312,0.0140873,0.00200883,-6.46299e-06,5.57119e-05,3.3,sed,200,1.71509,1.0,0.472412,0.1,-10.0,40.3,6.46473
